hmdb_id	name	pubchem_id	chebi_id	kegg_id	metlin_id	lipid	smiles	exactmass	formula	inchi_key	super_class	main_class	sub_class	synonym	chem_id	comp_id	derived_feature
""	hydroxypalmitoyl sphingomyelin (d18:1/16:0(OH))**			""			""			""		""	""	hydroxypalmitoyl sphingomyelin (d18:1/16:0(OH))**	100021000	62851	FALSE
""	pregnenetriol sulfate*			""			""			""		""	""	pregnenetriol sulfate*	100021103	62922	FALSE
""	8-methoxykynurenate			""			""			""		""	""	8-methoxykynurenate	100020360	62955	FALSE
""	N6,N6-dimethyllysine			""			""			""		""	""	N6,N6-dimethyllysine	100020417	62862	FALSE
""	N6-methyllysine			""			""			""		""	""	N6-methyllysine	100003415	62860	FALSE
""	N-lactoyl histidine			""			""			""		""	""	N-lactoyl histidine		64878	FALSE
HMDB0062181	N-lactoyl valine			""			""			""		""	""	N-lactoyl valine	100022485	64883	FALSE
""	(N(1) + N(8))-acetylspermidine			""			""			""		Amino Acid	Polyamine Metabolism	(N(1) + N(8))-acetylspermidine	100016038	57814	FALSE
""	1,2,3-benzenetriol sulfate (2)			""			""			""		Xenobiotics	Chemical	1,2,3-benzenetriol sulfate (2)	100006374	48762	FALSE
HMDB08138	1,2-dilinoleoyl-GPC (18:2/18:2)			""			""			""		Lipid	Phosphatidylcholine (PC)	1,2-dilinoleoyl-GPC (18:2/18:2)	100008903	52603	FALSE
HMDB09093	1,2-dilinoleoyl-GPE (18:2/18:2)*			""			""			""		Lipid	Phosphatidylethanolamine (PE)	1,2-dilinoleoyl-GPE (18:2/18:2)*	100009217	53174	FALSE
HMDB00564	1,2-dipalmitoyl-GPC (16:0/16:0)			""			""			""		Lipid	Phosphatidylcholine (PC)	1,2-dipalmitoyl-GPC (16:0/16:0)	100000657	19130	FALSE
HMDB08923	1,2-dipalmitoyl-GPE (16:0/16:0)*			""			""			""		Lipid	Phosphatidylethanolamine (PE)	1,2-dipalmitoyl-GPE (16:0/16:0)*	100009204	57341	FALSE
HMDB09778	1,2-dipalmitoyl-GPI (16:0/16:0)*			""			""			""		Lipid	Phosphatidylinositol (PI)	1,2-dipalmitoyl-GPI (16:0/16:0)*	100009169	57375	FALSE
HMDB02123	1,3,7-trimethylurate			""			""			""		Xenobiotics	Xanthine Metabolism	1,3,7-trimethylurate	100001397	34404	FALSE
HMDB01857	1,3-dimethylurate			""			""			""		Xenobiotics	Xanthine Metabolism	1,3-dimethylurate	100001106	32391	FALSE
HMDB02712	1,5-anhydroglucitol (1,5-AG)			""			""			""		Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	1,5-anhydroglucitol (1,5-AG)	100000580	20675	FALSE
HMDB11103	1,7-dimethylurate			""			""			""		Xenobiotics	Xanthine Metabolism	1,7-dimethylurate	100001399	34400	FALSE
""	1-(1-enyl-oleoyl)-GPE (P-18:1)*			""			""			""		Lipid	Lysoplasmalogen	1-(1-enyl-oleoyl)-GPE (P-18:1)*	100005372	44621	FALSE
HMDB11220	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*			""			""			""		Lipid	Plasmalogen	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*	100009014	52689	FALSE
HMDB11352	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*			""			""			""		Lipid	Plasmalogen	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*	100009002	52673	FALSE
HMDB11211	1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*			""			""			""		Lipid	Plasmalogen	1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*	100009009	52682	FALSE
HMDB11343	1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*			""			""			""		Lipid	Plasmalogen	1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*	100009069	52677	FALSE
""	1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*			""			""			""		Lipid	Plasmalogen	1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*	100009007	52478	FALSE
HMDB11342	1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*			""			""			""		Lipid	Plasmalogen	1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*	100009005	52477	FALSE
HMDB11207	1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*			""			""			""		Lipid	Plasmalogen	1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*	100009160	52713	FALSE
HMDB11206	1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*			""			""			""		Lipid	Plasmalogen	1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*	100009162	52716	FALSE
HMDB10407	1-(1-enyl-palmitoyl)-GPC (P-16:0)*			""			""			""		Lipid	Lysoplasmalogen	1-(1-enyl-palmitoyl)-GPC (P-16:0)*	100002875	52474	FALSE
""	1-(1-enyl-palmitoyl)-GPE (P-16:0)*			""			""			""		Lipid	Lysoplasmalogen	1-(1-enyl-palmitoyl)-GPE (P-16:0)*	100003000	39270	FALSE
HMDB05779	1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*			""			""			""		Lipid	Plasmalogen	1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*	100008999	52475	FALSE
HMDB11376	1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*			""			""			""		Lipid	Plasmalogen	1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*	100009225	52748	FALSE
HMDB11375	1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)			""			""			""		Lipid	Plasmalogen	1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)	100008919	52614	FALSE
""	1-(1-enyl-stearoyl)-GPE (P-18:0)*			""			""			""		Lipid	Lysoplasmalogen	1-(1-enyl-stearoyl)-GPE (P-18:0)*	100003001	39271	FALSE
""	1-arachidonoyl-GPA (20:4)			""			""			""		Lipid	Lysophospholipid	1-arachidonoyl-GPA (20:4)	100004442	46325	FALSE
HMDB10395	1-arachidonoyl-GPC (20:4n6)*			""			""			""		Lipid	Lysophospholipid	1-arachidonoyl-GPC (20:4n6)*	100001551	33228	FALSE
HMDB11517	1-arachidonoyl-GPE (20:4n6)*			""			""			""		Lipid	Lysophospholipid	1-arachidonoyl-GPE (20:4n6)*	100001571	35186	FALSE
HMDB61690	1-arachidonoyl-GPI (20:4)*			""			""			""		Lipid	Lysophospholipid	1-arachidonoyl-GPI (20:4)*	100001654	34214	FALSE
HMDB11549	1-arachidonylglycerol (20:4)			""			""			""		Lipid	Monoacylglycerol	1-arachidonylglycerol (20:4)	100001433	34397	FALSE
HMDB0062180	N-lactoyl isoleucine			""			""			""		Amino Acid	Leucine, Isoleucine and Valine Metabolism	N-lactoyl isoleucine	100022479	64879	FALSE
HMDB0062176	N-lactoyl leucine			""			""			""		Amino Acid	Leucine, Isoleucine and Valine Metabolism	N-lactoyl leucine	100022480	64880	FALSE
